transaction_id,merchant_id,timestamp,amount,currency,mcc,fee
T-20112,M-1008,2026-03-07T15:21:33+03:00,3308.82,SAR,5732,59.5588
T-20113,M-1001,2026-03-07T17:10:05+03:00,491.62,SAR,5411,8.3575
T-20114,M-1001,2026-03-07T15:34:24Z,3562.85,SAR,5411,60.5685
T-20115,M-1002,2026-03-07T18:40:52+03:00,1308.03,SAR,5812,28.7767
T-20116,M-1001,2026-03-07T16:06:00Z,420.00,EUR,5411,7.9800
T-20117,M-1004,2026-03-07T19:19:27+03:00,2226.87,SAR,0742,44.5374
T-20118,M-1001,2026-03-07T19:59:37+03:00,1197.87,SAR,5411,20.3638
T-20119,M-1002,2026-03-07T21:43:02+03:00,389.39,SAR,5812,8.5666
T-20120,M-1006,2026-03-07T22:44:39+03:00,1232.33,SAR,5999,25.8789
T-20121,M-1001,2026-03-08T03:40:47+03:00,340.92,USD,5411,5.7956
T-20122,M-1005,2026-03-08T05:07:34+03:00,2356.19,SAR,5541,35.3429
T-20123,M-1007,2026-03-08T06:12:55Z,2611.94,SAR,0763,49.6269
T-20124,M-1006,2026-03-08T09:32:17+03:00,1265.66,SAR,5999,26.5789
T-20125,M-1001,2026-03-08T07:04:22Z,4167.77,SAR,5411,70.8521
T-20126,M-1004,2026-03-08T10:14:51+03:00,2298.20,SAR,0742,45.9640
T-20127,M-1006,2026-03-08T12:01:56+03:00,4657.11,SAR,5999,97.7993
T-20128,M-1003,2026-03-08T12:04:03+03:00,4868.66,SAR,4511,82.7672
T-20129,M-1002,2026-03-08T13:08:48+03:00,1143.86,SAR,5812,25.1649
T-20130,M-1001,2026-03-08T14:22:25+03:00,610.48,USD,5411,10.3782
T-20131,M-1005,2026-03-08T15:25:20+03:00,313.21,SAR,5541,4.6982
T-20132,M-1005,2026-03-08T13:03:17Z,402.24,SAR,5541,6.0336
T-20133,M-1001,2026-03-08T15:00:59Z,1798.89,SAR,5411,30.5811
T-20134,M-1003,2026-03-08T17:13:05Z,2842.89,SAR,4511,48.3291
T-20135,M-1002,2026-03-08T20:15:23+03:00,3901.18,SAR,5812,85.8260
T-20136,M-1002,2026-03-08T21:19:41+03:00,4208.71,SAR,5812,92.5916
T-20137,M-1002,2026-03-08T23:42:29+03:00,1362.26,SAR,5812,29.9697
T-20138,M-1005,2026-03-08T21:23:12Z,1404.66,SAR,5541,21.0699
T-20139,M-1001,2026-03-09T01:18:50+03:00,3134.74,SAR,5411,53.2906
T-20140,M-1002,2026-03-09T01:45:59+03:00,2145.78,SAR,5812,47.2072
T-20141,M-1003,2026-03-09T03:29:18+03:00,3191.62,SAR,4511,54.2575
T-20142,M-1004,2026-03-09T05:42:17+03:00,3469.27,SAR,0742,69.3854
T-20143,M-1006,2026-03-09T07:23:27+03:00,2815.43,SAR,5999,59.1240
T-20144,M-1002,2026-03-09T10:30:26+03:00,2909.02,SAR,5812,63.9984
T-20145,M-1003,2026-03-09T10:45:23+03:00,3242.07,SAR,4511,55.1152
T-20146,M-1001,2026-03-09T11:00:41+03:00,679.57,SAR,5411,11.5527
T-20147,M-1001,2026-03-09T12:06:43+03:00,3430.78,SAR,5411,58.3233
T-20148,M-1008,2026-03-09T16:08:40+03:00,2676.71,SAR,5732,48.1808
T-20149,M-1007,2026-03-09T17:46:53+03:00,906.20,SAR,0763,17.2178
T-20150,M-1004,2026-03-09T16:43:46Z,278.63,SAR,0742,5.5726
T-20151,M-1005,2026-03-09T20:42:54Z,1019.22,SAR,5541,15.2883
T-20152,M-1001,2026-03-10T02:32:58+03:00,3279.39,SAR,5411,55.7496
T-20153,M-1002,2026-03-10T03:47:45+03:00,3671.90,SAR,5812,80.7818
T-20154,M-1003,2026-03-10T03:04:37Z,4848.24,SAR,4511,82.4201
T-20155,M-1001,2026-03-10T04:30:35Z,4945.21,SAR,5411,84.0686
T-20156,M-1001,2026-03-10T08:22:37+03:00,3909.83,SAR,5411,66.4671
T-20157,M-1005,2026-03-10T13:33:45+03:00,1924.56,SAR,5541,28.8684
T-20158,M-1006,2026-03-10T14:28:33+03:00,2243.95,SAR,5999,47.1230
T-20159,M-1008,2026-03-10T12:04:15Z,413.44,SAR,5732,7.4419
T-20160,M-1006,2026-03-10T15:44:53+03:00,816.31,SAR,5999,17.1425
T-20161,M-1002,2026-03-10T13:06:16Z,2031.90,SAR,5812,44.7018
T-20162,M-1001,2026-03-10T17:56:34+03:00,2843.05,SAR,5411,48.3319
T-20163,M-1002,2026-03-10T21:58:45+03:00,3526.29,SAR,5812,77.5784
T-20164,M-1005,2026-03-10T23:04:54+03:00,374.71,SAR,5541,5.6207
T-20165,M-1001,2026-03-11T00:58:46+03:00,2056.98,SAR,5411,34.9687
T-20166,M-1008,2026-03-11T02:05:25+03:00,3294.50,SAR,5732,59.3010
T-20167,M-1002,2026-03-11T04:52:50+03:00,2268.85,SAR,5812,49.9147
T-20168,M-1005,2026-03-11T07:08:15+03:00,1875.30,SAR,5541,28.1295
T-20169,M-1004,2026-03-11T08:58:48+03:00,2695.02,SAR,0742,53.9004
T-20170,M-1008,2026-03-11T09:16:23+03:00,351.74,SAR,5732,6.3313
T-20171,M-1005,2026-03-11T09:36:14+03:00,2842.13,SAR,5541,42.6320
T-20172,M-1006,2026-03-11T11:36:05+03:00,4277.73,SAR,5999,89.8323
T-20173,M-1003,2026-03-11T13:08:15+03:00,2339.60,SAR,4511,39.7732
T-20174,M-1004,2026-03-11T14:58:06+03:00,937.15,SAR,0742,18.7430
T-20175,M-1003,2026-03-11T12:09:31Z,3352.71,SAR,4511,56.9961
T-20176,M-1006,2026-03-11T13:56:46Z,2574.72,SAR,5999,54.0691
T-20177,M-1004,2026-03-11T16:09:14Z,1061.33,SAR,0742,21.2266
T-20177,M-1004,2026-03-11T19:09:14+03:00,1061.33,SAR,0742,21.2266
T-20178,M-1001,2026-03-11T19:43:29+03:00,273.13,USD,5411,4.6432
T-20179,M-1002,2026-03-11T21:43:31+03:00,4243.71,SAR,5812,93.3616
T-20180,M-1002,2026-03-11T21:47:28+03:00,350.68,SAR,5812,7.7150
T-20181,M-1006,2026-03-11T19:56:40Z,4081.86,SAR,5999,85.7191
T-20182,M-1002,2026-03-11T22:02:26Z,3930.20,SAR,5812,86.4644
T-20183,M-1001,2026-03-12T02:44:11+03:00,61.17,USD,5411,1.0399
T-20184,M-1005,2026-03-12T04:06:11+03:00,3100.12,SAR,5541,46.5018
T-20185,M-1002,2026-03-12T04:06:26+03:00,3197.76,SAR,5812,70.3507
T-20186,M-1001,2026-03-12T02:26:20Z,816.13,SAR,5411,13.8742
T-20187,M-1007,2026-03-12T08:25:20+03:00,2486.89,SAR,0763,47.2509
T-20188,M-1002,2026-03-12T06:12:17Z,1439.56,SAR,5812,31.6703
T-20189,M-1001,2026-03-12T09:31:37+03:00,4843.32,SAR,5411,82.3364
T-20190,M-1008,2026-03-12T09:38:30+03:00,3542.38,SAR,5732,63.7628
T-20191,M-1004,2026-03-12T11:05:28+03:00,4500.02,SAR,0742,90.0004
T-20192,M-1006,2026-03-12T14:44:29+03:00,1454.68,SAR,5999,30.5483
T-20193,M-1002,2026-03-12T14:58:55+03:00,318.69,SAR,5812,7.0112
T-20194,M-1005,2026-03-12T12:59:51Z,3635.78,SAR,5541,54.5367
T-20195,M-1006,2026-03-12T13:35:13Z,2624.20,SAR,5999,55.1082
T-20196,M-1006,2026-03-12T18:56:24+03:00,549.25,SAR,5999,11.5343
T-20197,M-1007,2026-03-12T16:28:15Z,1620.40,SAR,0763,30.7876
T-20198,M-1003,2026-03-12T20:15:44+03:00,788.69,SAR,4511,13.4077
T-20199,M-1001,2026-03-12T20:30:38+03:00,2982.09,SAR,5411,50.6955
T-20200,M-1008,2026-03-12T21:13:31+03:00,871.69,SAR,5732,15.6904
T-20201,M-1002,2026-03-12T22:01:21+03:00,4370.42,SAR,5812,96.1492
T-20202,M-1005,2026-03-12T22:51:42+03:00,3050.20,SAR,5541,45.7530
T-20203,M-1001,2026-03-13T00:06:21+03:00,121.84,SAR,5411,2.0713
T-20204,M-1003,2026-03-12T22:08:08Z,1413.83,SAR,4511,24.0351
T-20205,M-1001,2026-03-13T01:42:20+03:00,2826.68,SAR,5411,48.0536
T-20206,M-1001,2026-03-13T04:00:04+03:00,3794.74,SAR,5411,64.5106
T-20207,M-1002,2026-03-13T04:54:23+03:00,1223.68,SAR,5812,26.9210
T-20208,M-1005,2026-03-13T04:55:07+03:00,2915.49,SAR,5541,43.7324
T-20209,M-1003,2026-03-13T05:55:03+03:00,4392.33,SAR,4511,74.6696
T-20210,M-1001,2026-03-13T06:58:46+03:00,-2056.98,SAR,5411,34.9687
T-20211,M-1004,2026-03-13T07:54:18+03:00,2424.47,SAR,0742,48.4894
T-20212,M-1003,2026-03-13T17:26:24+03:00,3079.77,SAR,4511,52.3561
T-20213,M-1008,2026-03-13T18:52:13+03:00,2639.51,SAR,5732,47.5112
T-20214,M-1001,2026-03-13T20:07:30+03:00,576.17,SAR,5411,9.7949
T-20215,M-1001,2026-03-13T20:13:42+03:00,3292.10,SAR,5411,55.9657
T-20216,M-1001,2026-03-13T20:20:06+03:00,838.43,SAR,5411,14.2533
T-20217,M-1008,2026-03-13T22:52:25+03:00,4044.67,SAR,5732,72.8041
T-20218,M-1007,2026-03-13T23:03:06+03:00,3694.55,SAR,0763,70.1965
T-20219,M-1005,2026-03-13T23:16:43+03:00,4317.04,SAR,5541,64.7556
T-20220,M-1008,2026-03-14T02:00:11+03:00,3036.19,SAR,5732,54.6514
T-20221,M-1003,2026-03-14T05:11:23+03:00,2638.91,SAR,4511,44.8615
T-20222,M-1001,2026-03-14T05:59:33+03:00,167.17,SAR,5411,2.8419
T-20223,M-1005,2026-03-14T06:33:47+03:00,2193.36,SAR,5541,32.9004
T-20224,M-1008,2026-03-14T05:25:56Z,1298.93,SAR,5732,23.3807
T-20225,M-1003,2026-03-14T06:25:30Z,1010.14,SAR,4511,17.1724
T-20226,M-1006,2026-03-14T09:52:34+03:00,2928.94,SAR,5999,61.5077
T-20227,M-1002,2026-03-14T11:05:28+03:00,4030.06,SAR,5812,88.6613
T-20228,M-1004,2026-03-14T09:04:33Z,966.52,SAR,0742,19.3304
T-20229,M-1006,2026-03-14T09:06:56Z,4258.74,SAR,5999,89.4335
T-20230,M-1003,2026-03-14T09:11:32Z,3957.69,SAR,4511,67.2807
T-20231,M-1002,2026-03-14T12:26:58+03:00,3522.37,SAR,5812,77.4921
T-20232,M-1001,2026-03-14T09:31:43Z,4599.82,SAR,5411,78.1969
T-20233,M-1001,2026-03-14T12:58:29+03:00,1293.54,SAR,5411,21.9902
T-20234,M-1001,2026-03-14T13:12:15+03:00,2685.75,SAR,5411,45.6578
T-20235,M-1002,2026-03-14T16:16:11+03:00,3186.05,SAR,5812,70.0931
T-20236,M-1002,2026-03-14T14:23:26Z,3700.67,SAR,5812,81.4147
T-20237,M-1001,2026-03-14T17:31:52+03:00,4405.78,SAR,5411,74.8983
T-20238,M-1001,2026-03-14T18:38:06+03:00,3333.43,SAR,5411,56.6683
T-20239,M-1005,2026-03-14T16:16:45Z,2475.99,SAR,5541,37.1399
T-20240,M-1004,2026-03-14T23:06:54+03:00,3567.63,SAR,0742,71.3526
T-20241,M-1008,2026-03-14T22:09:41Z,433.33,SAR,5732,7.7999
T-20242,M-1001,2026-03-15T07:49:42+03:00,2193.43,SAR,5411,37.2883
T-20243,M-1004,2026-03-15T07:51:52+03:00,3929.12,SAR,0742,78.5824
T-20244,M-1003,2026-03-15T08:27:47+03:00,2921.71,SAR,4511,49.6691
T-20245,M-1005,2026-03-15T05:42:58Z,3681.23,SAR,5541,55.2185
T-20246,M-1001,2026-03-15T09:09:07+03:00,955.79,SAR,5411,16.2484
T-20247,M-1001,2026-03-15T09:41:22+03:00,321.62,SAR,5411,5.4675
T-20248,M-1008,2026-03-15T10:25:56+03:00,-1298.93,SAR,5732,0.0000
T-20249,M-1004,2026-03-15T07:26:29Z,4524.75,SAR,0742,90.4950
T-20250,M-1001,2026-03-15T11:42:48+03:00,2676.61,SAR,5411,45.5024
T-20251,M-1003,2026-03-15T08:54:32Z,3965.37,SAR,4511,67.4113
T-20252,M-1001,2026-03-15T12:54:11+03:00,256.12,SAR,5411,4.3540
T-20253,M-1007,2026-03-15T13:31:18+03:00,2412.17,SAR,0763,45.8312
T-20254,M-1005,2026-03-15T14:37:55+03:00,2144.00,SAR,5541,32.1600
T-20255,M-1007,2026-03-15T15:22:09+03:00,4472.98,SAR,0763,84.9866
T-20256,M-1007,2026-03-15T16:04:37+03:00,3418.88,SAR,0763,64.9587
T-20257,M-1004,2026-03-15T18:17:30+03:00,3683.61,SAR,0742,73.6722
T-20258,M-1001,2026-03-16T02:03:00+03:00,2910.38,SAR,5411,49.4765
T-20259,M-1001,2026-03-16T02:23:11+03:00,149.62,SAR,5411,2.5435
T-20260,M-1001,2026-03-16T03:10:32+03:00,3536.57,SAR,5411,60.1217
T-20261,M-1008,2026-03-16T05:22:33+03:00,314.71,SAR,5732,5.6648
T-20262,M-1008,2026-03-16T05:27:38+03:00,2302.96,SAR,5732,41.4533
T-20263,M-1008,2026-03-16T03:03:02Z,1266.40,SAR,5732,22.7952
T-20264,M-1001,2026-03-16T07:31:45+03:00,362.01,SAR,5411,6.1542
T-20265,M-1005,2026-03-16T08:35:51+03:00,4915.55,SAR,5541,73.7333
T-20266,M-1006,2026-03-16T09:40:44+03:00,4995.94,SAR,5999,104.9147
T-20267,M-1002,2026-03-16T12:29:19+03:00,4697.03,SAR,5812,103.3347
T-20268,M-1008,2026-03-16T15:31:54+03:00,3180.19,SAR,5732,57.2434
T-20269,M-1002,2026-03-16T13:38:28Z,622.76,SAR,5812,13.7007
T-20270,M-1007,2026-03-16T14:49:00Z,4433.97,SAR,0763,84.2454
T-20271,M-1003,2026-03-16T22:27:10+03:00,1475.68,SAR,4511,25.0866
T-20272,M-1001,2026-03-16T22:47:58+03:00,4149.76,SAR,5411,70.5459
T-20273,M-1001,2026-03-16T22:48:23+03:00,4520.42,SAR,5411,76.8471
T-20274,M-1001,2026-03-16T21:14:56Z,2612.68,SAR,5411,44.4156
T-20275,M-1007,2026-03-17T00:42:39+03:00,3282.12,SAR,0763,62.3603
T-20276,M-1005,2026-03-17T01:23:59+03:00,1859.50,SAR,5541,27.8925
T-20277,M-1001,2026-03-17T01:33:58Z,675.20,SAR,5411,11.4784
T-20278,M-1006,2026-03-17T06:31:21+03:00,504.61,SAR,5999,10.5968
T-20279,M-1003,2026-03-17T04:37:09Z,3521.82,SAR,4511,59.8709
T-20280,M-1008,2026-03-17T08:09:39+03:00,550.87,SAR,5732,9.9157
T-20281,M-1003,2026-03-17T08:18:58Z,4212.41,SAR,4511,71.6110
T-20282,M-1003,2026-03-17T11:59:00+03:00,4913.15,SAR,4511,83.5236
T-20283,M-1006,2026-03-17T12:19:59+03:00,599.85,SAR,5999,12.5969
T-20284,M-1002,2026-03-17T09:31:24Z,1481.21,SAR,5812,32.5866
T-20285,M-1006,2026-03-17T13:33:47+03:00,81.33,SAR,5999,1.7079
T-20286,M-1001,2026-03-17T15:29:04+03:00,3340.23,SAR,5411,56.7839
T-20287,M-1004,2026-03-17T15:36:47Z,3095.56,SAR,0742,61.9112
T-20288,M-1001,2026-03-17T19:37:29Z,4624.90,SAR,5411,78.6233
T-20289,M-1004,2026-03-17T23:22:53+03:00,1615.07,SAR,0742,32.3014
T-20290,M-1001,2026-03-17T20:44:00Z,374.75,SAR,5411,6.3708
T-20291,M-1003,2026-03-18T05:55:13+03:00,1113.42,SAR,4511,18.9281
T-20292,M-1001,2026-03-18T08:52:40+03:00,1323.25,SAR,5411,22.4953
T-20293,M-1006,2026-03-18T06:53:07Z,332.45,SAR,5999,6.9815
T-20294,M-1002,2026-03-18T13:20:07+03:00,3041.98,SAR,5812,66.9236
T-20295,M-1004,2026-03-18T13:58:46+03:00,3347.29,SAR,0742,66.9458
T-20296,M-1001,2026-03-18T14:54:11+03:00,4375.32,SAR,5411,74.3804
T-20297,M-1002,2026-03-18T16:50:59+03:00,4728.25,SAR,5812,104.0215
T-20298,M-1006,2026-03-18T14:03:37Z,867.77,SAR,5999,18.2232
T-20299,M-1005,2026-03-18T15:09:31Z,488.44,SAR,5541,7.3266
T-20300,M-1002,2026-03-18T22:31:48+03:00,1509.15,SAR,5812,33.2013
T-20301,M-1003,2026-03-19T00:47:53+03:00,583.04,SAR,4511,9.9117
T-20302,M-1006,2026-03-19T00:03:59Z,2311.90,SAR,5999,48.5499
T-20303,M-1003,2026-03-19T04:43:17+03:00,2273.03,SAR,4511,38.6415
T-20304,M-1005,2026-03-19T07:28:53+03:00,2402.31,SAR,5541,36.0347
T-20305,M-1006,2026-03-19T06:33:16Z,1778.68,SAR,5999,37.3523
T-20306,M-1002,2026-03-19T06:41:16Z,1731.27,SAR,5812,38.0879
T-20307,M-1004,2026-03-19T07:05:51Z,1430.30,SAR,0742,28.6060
T-20308,M-1001,2026-03-19T10:38:50+03:00,4458.31,SAR,5411,75.7913
T-20308,M-1001,2026-03-19T10:38:50+03:00,4458.31,SAR,5411,75.7913
T-20309,M-1005,2026-03-19T10:44:34+03:00,1675.21,SAR,5541,25.1282
T-20310,M-1005,2026-03-19T11:10:21+03:00,2376.99,SAR,5541,35.6549
T-20311,M-1008,2026-03-19T09:09:59Z,2039.16,SAR,5732,36.7049
T-20312,M-1008,2026-03-19T12:22:02Z,2606.96,SAR,5732,46.9253
T-20313,M-1001,2026-03-19T16:17:11+03:00,2468.92,SAR,5411,41.9716
T-20314,M-1001,2026-03-19T17:48:18Z,3530.27,SAR,5411,60.0146
T-20315,M-1002,2026-03-20T05:07:26+03:00,701.17,SAR,5812,15.4257
T-20316,M-1007,2026-03-20T05:08:49+03:00,1454.06,SAR,0763,27.6271
T-20317,M-1003,2026-03-20T06:08:09+03:00,4951.01,SAR,4511,84.1672
T-20318,M-1007,2026-03-20T04:01:04Z,4449.13,SAR,0763,84.5335
